YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,PRECTOTCORR
2020,12,31,2.47,10.78,39.56,3.13,0
2021,1,1,1.97,13.36,31.89,1.53,0
2021,1,2,1.11,13.5,53.98,2.43,7.36
2021,1,3,0.74,15.79,87.44,3.94,18.79
2021,1,4,2.16,17.43,76.5,2.86,0.12
2021,1,5,1.74,17.53,73.36,3.35,2.98
2021,1,6,1.45,16.49,74.58,1.45,8.24
2021,1,7,1.56,14.49,76.34,2.72,0.32
2021,1,8,1.33,15.48,71.88,1.89,0.44
2021,1,9,1.95,15.88,64.41,2.88,0.91
2021,1,10,3.03,12.98,58.13,4.16,0
2021,1,11,3.02,11,53.02,4.38,0
2021,1,12,3.29,11.24,48.85,4.14,0
2021,1,13,2.92,10.09,46.81,3.67,0
2021,1,14,2.76,12.06,39.14,1.75,0
2021,1,15,3.01,12.65,37.15,1.66,0
2021,1,16,2.51,10.91,45.45,3.16,0
2021,1,17,1.76,10.94,48.03,2.58,0
2021,1,18,1.54,13.73,40.97,2.54,0
2021,1,19,2.61,14.92,49.95,3.24,0
2021,1,20,3.42,13.54,50.16,4.94,0
2021,1,21,4.23,13.09,51.09,4.65,0
2021,1,22,2.66,13.32,41.61,2.29,0
2021,1,23,3.02,14.04,40.74,3.34,0
2021,1,24,1.74,12.08,55.76,3.01,0
2021,1,25,2.2,10.83,50.87,2.53,0
2021,1,26,3.3,11.92,49.09,2.91,0
2021,1,27,3.97,12.1,44.89,3.17,0
2021,1,28,2.89,11.34,40.75,2.67,0
2021,1,29,3.82,11.3,41,3.99,0
2021,1,30,4.4,12.1,40.98,3.98,0
2021,1,31,4.59,14.11,34.11,2.3,0
2021,2,1,4.39,15.93,32.33,2.52,0
2021,2,2,4.43,16.45,34.59,2.06,0
2021,2,3,4.01,16.25,39.76,3.23,0.05
2021,2,4,2.72,16.17,55.01,3.48,3.03
2021,2,5,4.06,14.6,64.45,2.62,0.09
2021,2,6,4.8,14.29,50.01,3.66,0
2021,2,7,4.83,14.51,48.46,3.87,0
2021,2,8,4.47,15.13,47.19,3.17,0
2021,2,9,4.27,17.63,42.11,2.82,0
2021,2,10,4.66,19.2,37.49,1.94,0
2021,2,11,4.38,17.5,42.78,2.44,0
2021,2,12,3.44,17.82,44.74,2.31,0
2021,2,13,3.31,18.3,36.03,2.11,0
2021,2,14,4.27,19.38,32.4,1.85,0
2021,2,15,4.34,20.37,31.05,1.24,0
2021,2,16,4.32,19.49,37.21,2.11,0
2021,2,17,4.43,18.61,40.96,2.31,0
2021,2,18,4.45,19.21,33.83,2.01,0
2021,2,19,4.5,18.24,37.18,2.76,0
2021,2,20,4.35,17.76,37.4,2.99,0
2021,2,21,4.88,18.11,37.8,3.51,0
2021,2,22,4.97,20.06,33.36,3.47,0
2021,2,23,5.28,21.89,29.39,2.41,0
2021,2,24,5.27,23.44,26.88,2.25,0
2021,2,25,5.31,23.01,29.05,3.18,0
2021,2,26,5.51,24.48,31.53,3.78,0
2021,2,27,5.27,23.97,36.86,3.43,0.38
2021,2,28,5.37,22.85,30.13,3.21,0
2021,3,1,5.67,21.17,22.95,4.63,0
2021,3,2,5.89,20.75,23.79,5.23,0
2021,3,3,5.94,22.65,20.64,3.82,0
2021,3,4,5.86,24.49,19.09,2.28,0
2021,3,5,5.64,23.61,20.91,4.78,0
2021,3,6,6.03,24.74,18.83,4.48,0
2021,3,7,5.66,25.6,18.83,2.69,0
2021,3,8,4.94,25.16,24.21,3.11,0.03
2021,3,9,5.14,26.6,24.96,2.13,0
2021,3,10,5.31,26.22,30.75,2.48,0.2
2021,3,11,5.53,26.39,23.64,1.77,0
2021,3,12,2.81,23.03,42.65,3.58,1.73
2021,3,13,5.45,24.08,52.5,2.47,0.03
2021,3,14,5.92,25.45,29.45,3.48,0
2021,3,15,5.16,24.98,27.41,3.19,0
2021,3,16,4.83,25.4,28.67,3.87,0
2021,3,17,5.19,26.69,28.75,3.08,0
2021,3,18,4.68,27.63,26.82,2.31,0
2021,3,19,5.01,27.88,28.85,3.11,0
2021,3,20,6.12,26.75,25.74,3.86,0
2021,3,21,6.17,27.72,24.73,2.16,0
2021,3,22,4.68,26.91,25.02,3.29,0
2021,3,23,4,28.01,26.88,2.5,0.04
2021,3,24,5.77,26.39,26.77,2.95,0.05
2021,3,25,5.75,24.86,27.82,5.18,0
2021,3,26,6.36,24.78,29.2,3.99,0
2021,3,27,6.38,27.17,25.45,2.93,0
2021,3,28,6.16,29.12,21.9,1.95,0
2021,3,29,6.54,30.32,18.78,3.21,0
2021,3,30,6.22,30.65,16.8,5.6,0
2021,3,31,7.42,28.56,11.49,6.69,0
2021,4,1,7.44,26.44,7.3,6.26,0
2021,4,2,7.25,25.93,9.19,3.75,0
2021,4,3,7.5,25.93,6.84,3.24,0
2021,4,4,7.26,27.35,8.62,3.67,0
2021,4,5,6.02,29.26,12.56,2.47,0
2021,4,6,5.94,30.92,12.74,2.2,0
2021,4,7,6.07,29.93,23.43,4.3,0
2021,4,8,6.7,27.87,14.89,3.55,0
2021,4,9,7.36,27.93,13.37,3.72,0
2021,4,10,7.24,28.89,14.92,3.57,0
2021,4,11,7.38,29.72,15.57,3.71,0
2021,4,12,6.81,31.11,16.37,3.28,0
2021,4,13,7.06,32.01,18.03,4.07,0
2021,4,14,6.56,32.49,19.51,3.91,0
2021,4,15,6.66,32.77,17.12,3.06,0
2021,4,16,5.55,32.81,19.77,2.83,0.85
2021,4,17,6.68,29.53,31.78,4.21,0.98
2021,4,18,7.04,29.58,27.62,3.2,0
