YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,PRECTOTCORR
2020,12,31,3.54,15.74,72.34,3.03,0
2021,1,1,3.85,15.84,67.41,2.79,0.02
2021,1,2,3.89,16.19,65.38,2.2,0
2021,1,3,4.09,17.95,63.41,1.66,0
2021,1,4,4.11,19.02,64.79,1.69,0
2021,1,5,4.16,19.71,70.91,1.97,0.11
2021,1,6,4.26,20.85,72.74,1.83,0
2021,1,7,3.82,22.52,65.62,1.85,0
2021,1,8,3.57,21.89,68.48,2.54,0.05
2021,1,9,3.59,21.75,67.32,1.91,0
2021,1,10,3.5,22.26,71.66,2.08,0
2021,1,11,3.11,21.89,77.05,2.4,0
2021,1,12,3.21,20.13,74.84,2.73,0
2021,1,13,2.61,18.64,73.19,2.36,0
2021,1,14,2.66,17.39,72.15,2.45,0
2021,1,15,2.8,16.31,67.71,2.51,0
2021,1,16,2.48,16.58,62.39,2.12,0
2021,1,17,2.41,16.14,69.31,2.55,0
2021,1,18,2.75,16.7,67.62,2.05,0
2021,1,19,2.34,18.09,69.62,2.05,0
2021,1,20,2.17,21.05,78.5,2.58,0
2021,1,21,3.89,18.81,60.95,3.02,0
2021,1,22,4.02,17.03,59.62,2.39,0
2021,1,23,3.32,17.32,57.74,1.95,0
2021,1,24,3.6,18.63,61.67,1.86,0
2021,1,25,2.58,19.02,69.13,2.23,0
2021,1,26,2.75,18.51,68.99,2.57,0
2021,1,27,3.91,17.39,63.79,2.97,0
2021,1,28,4.47,16.34,56.06,3.23,0
2021,1,29,3.85,17.8,53.51,2.27,0.02
2021,1,30,3.02,17.73,59.41,2.88,0.02
2021,1,31,3.71,15.39,49.45,3.02,0
2021,2,1,4.32,16.28,45.99,2.4,0
2021,2,2,4.47,16.75,48.21,2.55,0
2021,2,3,4.37,18.35,46.9,2.22,0
2021,2,4,4.68,18.74,50.11,2.42,0
2021,2,5,4.96,20.12,49.51,2.09,0
2021,2,6,4.44,20.14,54.74,2.42,0.04
2021,2,7,3.79,18.89,63.89,3.42,0.81
2021,2,8,4.9,18.39,52.05,2.98,0
2021,2,9,4.98,19.6,48.31,2.21,0
2021,2,10,4.81,21.06,48.14,1.62,0
2021,2,11,4.58,21.67,62.94,1.96,0
2021,2,12,4.32,22.09,56.92,2.11,0
