YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,PRECTOTCORR
2020,12,31,3.67,23.74,68.4,3.51,0
2021,1,1,3.17,24.52,73.72,3.03,0.03
2021,1,2,3.03,23.85,76.92,2.01,0.02
2021,1,3,3.74,23.59,71.22,1.91,0.01
2021,1,4,3.14,23.68,71.52,1.94,0.08
2021,1,5,3.7,23.33,71.57,2.04,0.08
2021,1,6,3.98,23.69,68.91,2.43,0
2021,1,7,3.88,24.45,75.7,1.89,0.6
2021,1,8,2.87,25,81.37,1.84,3.32
2021,1,9,3.77,25.53,79.22,1.88,3.92
2021,1,10,4.32,26.17,76.34,2.47,0.19
2021,1,11,4.52,26.9,68.57,2.36,0.02
2021,1,12,4.38,27.02,60.23,3.09,0
2021,1,13,4.46,26.35,60.54,2.74,0
2021,1,14,4.86,25.32,61.05,2,0
2021,1,15,4.86,24.75,61.77,2.64,0
2021,1,16,4.85,24.72,59.34,2.04,0
2021,1,17,4.79,25.22,63.81,2.07,0
2021,1,18,4.79,25.17,63.03,2.23,0
2021,1,19,4.87,25.09,59.8,2.15,0
2021,1,20,5,24.38,55.82,2.37,0
2021,1,21,5.21,22.98,53.2,2.31,0
2021,1,22,5.03,23.7,55.84,2.12,0
2021,1,23,5.06,23.92,58.23,2.1,0
2021,1,24,5.26,23.25,59.11,2.52,0
2021,1,25,5.33,22.63,50.99,2.91,0
2021,1,26,5.47,22.36,47.57,2.5,0
2021,1,27,5.37,22.04,46.51,2.64,0
2021,1,28,5.37,21.96,47.9,2.58,0
2021,1,29,5.22,22.34,44.85,2.84,0
2021,1,30,5.09,23.41,43.98,2.52,0
2021,1,31,4.96,23.95,45.92,2.62,0
2021,2,1,4.58,24.54,49.67,3.46,0
2021,2,2,5.1,24.89,39.95,3.73,0
2021,2,3,4.94,23.91,41.43,3.02,0
2021,2,4,5.15,23.69,46.78,2.68,0
2021,2,5,5.26,22.95,52.49,3.32,0
2021,2,6,5.51,23.35,42.33,3.38,0
2021,2,7,5.63,24.14,41.54,3.99,0
2021,2,8,5.9,24.25,40.12,3.44,0
2021,2,9,5.9,24.01,39.1,3.46,0
2021,2,10,5.52,24.15,40.48,2.64,0
2021,2,11,5.46,24.64,41.42,2.78,0
2021,2,12,5.46,24.72,43.49,2.73,0
2021,2,13,5.32,24.96,45.39,2.57,0
2021,2,14,5.05,25.01,54.19,2.34,0
2021,2,15,4.93,24.44,56.93,2.43,0.01
2021,2,16,5.26,24.01,64.84,2.73,0
2021,2,17,5.3,24.9,62.56,2.49,0.01
2021,2,18,5.01,26.01,59.29,2.13,3.26
2021,2,19,5.34,25.78,60.75,2.79,8.1
2021,2,20,5.74,25.37,51.27,3.42,0
2021,2,21,5.52,26.75,49.5,4.1,0
2021,2,22,5.71,27.47,53.24,2.87,0
2021,2,23,5.62,27.63,50.79,2.42,0
2021,2,24,5.76,27.53,43.82,2.76,0
2021,2,25,5.57,27.34,44.9,3.02,0
2021,2,26,6.27,27.1,48.2,2.97,0
2021,2,27,6.46,27.29,47.23,3.26,0
2021,2,28,6.35,29.01,40.16,2.89,0
2021,3,1,6.35,29.82,35.17,3.95,0
2021,3,2,6.5,29.2,30.13,3.63,0
2021,3,3,6.51,29.44,25.65,3.23,0
2021,3,4,6.44,29.38,23.08,3.49,0
2021,3,5,6.6,29.86,26.28,3.29,0
2021,3,6,6.55,28.84,40.86,2.23,0
2021,3,7,6.62,28.28,46.2,2.85,0
2021,3,8,6.82,28.34,43.26,3.07,0
2021,3,9,6.44,28.78,45.88,3,0.01
2021,3,10,6.42,28.69,46.96,2.64,0.01
2021,3,11,6.09,28.55,45.42,2.89,0
2021,3,12,6.27,28.86,46.46,2.94,0
2021,3,13,6.48,30.55,33.35,3.51,0
